title,price,brand,shipping,genre
Copper Metal Decorative Wall Art,"$2,906",by Malik Design,Ships In 1 Day,Expressionism
Multicolour Metal Wall Art,"$2,999",by Desert Oak,Ships In 5 Days,"Expressionism,Abstractionism"
Multicolour Metal Decorative Wall Art,"$1,049",by Craftpreneurs India,Ships In 3 Days,"Social Realism,Muralism"
Multicolour Metal Leaves Set Wall Decor,"$3,635",by The Shining Rays,Ships In 1 Day,Impressionism
Multicolour Metal With LED Wall Art,"$6,299",by Desert Oak,Ships In 5 Days,"Surrealism,Impressionism"
Green Metal Coconut Tree Wall Art,"$4,499",by B K Exports,Ships In 3 Days,Surrealism
Gold Metal Decorative With Led Wall Art,"$4,841",by Malik Design,Ships In 1 Day,"Realism,Impressionism"
Gold Metal Tree With Led Wall Art,"$5,499",by B K Exports,Ships In 3 Days,Byzantine Art
Silver Metal Decorative Wall Art,"$4,578",by Cocovey,Ships In 2 Days,Post-Impressionism
Brown Metal Mesh Leav Wall Decor With Led,"$5,192",by The Shining Rays,Ships In 3 Days,"Symbolism,Art Nouveau"
Gold Metal Small Tree Screen With LED Wall Art,"$5,099",by Sugandha,Ships In 3 Days,Northern Renaissance
Red Metal Marigold Flower Wall Art,"$5,549",by Vedas,Ships In 2 Days,Suprematism
Copper Metal Decorative Wall Art,"$1,358",by Malik Design,Ships In 1 Day,Symbolism
Multicolour Metal Alila Tree Wall Art,"$2,999",by Vedas,Ships In 1 Day,Cubism
Green Metal Banana Leaf Wall Art,"$1,949",by The Shining Rays,Ships In 1 Day,Baroque
Multicolour Metal Suraj Mukhi Flower Wall Art,"$4,067",by Malik Design,Ships In 1 Day,Impressionism
Copper Metal Decorative Wall Art,"$2,299",by Malik Design,Ships In 1 Day,Romanticism
Multicolour Metal Floral Wall Decor,"$3,464",by The Shining Rays,Ships In 1 Day,"Primitivism,Surrealism"
Gold Metal Decorative With Led Wall Art,"$9,099",by Sugandha,Ships In 3 Days,Mannerism
Green Metal Rain Forest With Led Wall Art,"$10,949",by The Shining Rays,Ships In 3 Days,Northern Renaissance
Multicolour Metal Wall Art,"$6,249",by Desert Oak,Ships In 5 Days,Impressionism
Blue Metal Round Wall Art,"$3,499",by The Shining Rays,Ships In 1 Day,Northern Renaissance
Red Metal Floral Wall Art,"$4,149",by The Shining Rays,Ships In 3 Days,Primitivism
Green Metal Green Floral Wall Art,"$2,499",by The Shining Rays,Ships In 3 Days,Proto Renaissance
